locatie_id,latitude,longitude,verkeersintensiteit,meet_richting,meetpaal_id
PFR07_101625_N359_ZW,53.16033,5.677058,600.0,,PFR07_101625_N359_ZW
PFR07_101626_N361_O,53.37606,6.10893,360.0,,PFR07_101626_N361_O
PFR07_101626_N361_W,53.37606,6.10893,480.0,,PFR07_101626_N361_W
PFR07_101627_N361_NO,53.2879,5.91931,240.0,,PFR07_101627_N361_NO
PFR07_101627_N361_ZW,53.2879,5.91931,360.0,,PFR07_101627_N361_ZW
PFR07_101628_N361_N,53.23352,5.902357,540.0,,PFR07_101628_N361_N
PFR07_101628_N361_Z,53.23352,5.902357,660.0,,PFR07_101628_N361_Z
PFR07_101629_N369_N,53.217735,6.087319,600.0,,PFR07_101629_N369_N
PFR07_101629_N369_Z,53.217735,6.087319,600.0,,PFR07_101629_N369_Z
PFR07_101630_N380_O,52.939568,6.021007,420.0,,PFR07_101630_N380_O
PFR07_101630_N380_W,52.939568,6.021007,420.0,,PFR07_101630_N380_W
PFR07_101631_N380_O,53.016285,6.21713,300.0,,PFR07_101631_N380_O
PFR07_101631_N380_W,53.016285,6.21713,360.0,,PFR07_101631_N380_W
PFR07_101632_N381_NW,53.056503,6.171937,780.0,,PFR07_101632_N381_NW
PFR07_101632_N381_ZO,53.056503,6.171937,1020.0,,PFR07_101632_N381_ZO
PFR07_101634_N383_N,53.246037,5.663416,540.0,,PFR07_101634_N383_N
PFR07_101634_N383_Z,53.246037,5.663416,540.0,,PFR07_101634_N383_Z
PFR07_101635_N384_NW,53.115692,5.680915,300.0,,PFR07_101635_N384_NW
PFR07_101635_N384_ZO,53.115692,5.680915,300.0,,PFR07_101635_N384_ZO
PFR07_101636_N384_NW,53.16572,5.598943,300.0,,PFR07_101636_N384_NW
PFR07_101636_N384_ZO,53.16572,5.598943,420.0,,PFR07_101636_N384_ZO
PFR07_101637_N384_N,53.219612,5.540258,420.0,,PFR07_101637_N384_N
PFR07_101637_N384_Z,53.219612,5.540258,240.0,,PFR07_101637_N384_Z
PFR07_101638_N392_O,53.050953,5.855458,420.0,,PFR07_101638_N392_O
PFR07_101638_N392_W,53.050953,5.855458,420.0,,PFR07_101638_N392_W
PFR07_101639_N392_O,53.02352,6.001767,300.0,,PFR07_101639_N392_O
